-1,62,88,405
5,44,156,439
5,44,156,439
5,44,156,439
5,44,156,439
0,25,165,456
0,25,165,456
0,25,165,456
0,25,165,456
0,25,165,456
-2,27,168,449
-2,27,168,449
-2,27,168,449
-2,27,168,449
1,34,170,434
1,34,170,434
1,34,170,434
1,34,170,434
-2,28,173,447
-2,28,173,447
-1,30,179,443
-1,30,179,443
-5,27,185,447
-5,27,185,447
-6,38,199,426
-6,38,199,426
0,60,193,425
-2,57,201,386
-2,57,201,386
-2,57,201,386
1,62,203,373
1,62,203,373
1,62,203,373
1,62,203,373
0,66,227,415
0,66,227,415
19,55,241,389
19,55,241,389
19,55,241,389
19,55,241,389
19,55,241,389
21,74,242,349
21,74,242,349
21,74,242,349
21,74,242,349
12,80,226,401
12,80,226,401
12,80,226,401
39,80,242,406
39,80,242,406
43,87,267,396
43,87,267,396
43,87,267,396
55,82,266,403
55,82,266,403
55,82,266,403
55,82,266,403
62,75,251,411
62,75,251,411
62,75,251,411
62,75,251,411
70,79,238,403
70,79,238,403
70,79,238,403
107,84,231,391
107,84,231,391
128,86,220,395
128,86,220,395
128,86,220,395
141,90,215,385
141,90,215,385
141,90,215,385
141,90,215,385
144,91,216,384
144,91,216,384
144,91,216,384
144,91,216,384
146,84,216,392
146,84,216,392
146,84,216,392
146,84,216,392
139,81,229,400
139,81,229,400
139,81,229,400
139,81,229,400
145,81,219,400
145,81,219,400
145,81,219,400
144,93,223,379
144,93,223,379
144,93,223,379
180,95,207,382
180,95,207,382
187,99,204,376
187,99,204,376
189,96,207,377
189,96,207,377
197,98,205,378
197,98,205,378
203,94,202,392
203,94,202,392
203,94,202,392
215,93,193,394
215,93,193,394
215,93,193,394
215,93,193,394
223,96,190,387
223,96,190,387
223,96,190,387
223,96,190,387
225,85,189,408
225,85,189,408
225,85,189,408
225,85,189,408
227,91,189,396
227,91,189,396
227,91,189,396
227,91,189,396
225,85,194,405
225,85,194,405
225,85,194,405
225,85,194,405
224,90,196,390
224,90,196,390
224,90,196,390
224,90,196,390
223,98,196,379
223,98,196,379
223,98,196,379
223,98,196,379
219,99,203,373
219,99,203,373
219,99,203,373
256,100,183,376
256,100,183,376
260,97,180,382
260,97,180,382
265,99,178,380
265,99,178,380
269,102,181,373
269,102,181,373
272,105,182,370
272,105,182,370
