loggingTime,loggingSample,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationSpeedAccuracy,locationCourse,locationCourseAccuracy,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerTimestamp_sinceReboot,magnetometerX,magnetometerY,magnetometerZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionHeading,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerAverageActivePace,pedometerCurrentPace,pedometerCurrentCadence,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,IP_Timestamp_since1970,IP_en0,IP_pdp_ip0,deviceID,deviceOrientationTimeStamp_since1970,deviceOrientation,batteryTimeStamp_since1970,batteryState,batteryLevel,label
1659876532.03986,1,1659876531.645408,28.61998128265263,77.37100343686852,207.9473,-1,-1,-1,-1,16.86159324645996,35,-9999,1659876532.034606,-27.58305358886719,-22.38803863525391,-25.67723846435547,229.4090576171875,228.1701812744141,12.7323169708252,41822.444552125,-0.9869537353515625,-0.0128021240234375,-0.165863037109375,41822.420634125,-0.01190459635108709,-0.04575284197926521,0.0008415589109063148,41822.434408125,-52.89239501953125,-43.52247619628906,-20.97883605957031,41822.385381125,0.01389901472194688,-1.4221608026295,0.01277092086237442,-0.006311439909040928,0.03416964411735535,-1.535704359412193e-05,0.0002154111862182617,0.003081260249018669,-0.008630946278572083,2,0.009373325665949922,-0.6525900335968315,0.001097835767806365,0.7576524909092095,-0.9888935089111328,-0.01277057360857725,-0.1480767726898193,-27.4881477355957,-22.35150527954102,-25.52696228027344,-1,2,41822.365745125,2,0,1659876532.114862,0,0,0,0,0,0,0,0,0,41820.138542,0,-0.05285645,97.29809,1659876531.993468,3232235861,172480399,0,0,1,1659876531.970341,1,0.11,0
1659876532.140644,2,1659876531.645408,28.61998128265263,77.37100343686852,207.9473,-1,-1,-1,-1,16.86159324645996,35,-9999,1659876532.135754,-27.76016998291016,-22.15318298339844,-25.98784255981445,229.4084320068359,228.1695556640625,12.73228549957275,41822.544016125,-0.98907470703125,-0.0113372802734375,-0.1403656005859375,41822.520094125,-0.00669412175193429,-0.06277709454298019,0.005231780000030994,41822.534481125,-53.12028503417969,-43.31108093261719,-21.28665161132812,41822.486103125,0.0138291826423802,-1.427905632967672,0.01287641807095586,0.00203293189406395,-0.08225267380475998,0.001901068259030581,0.002391219139099121,0.001569300889968872,-0.008424639701843262,2,0.009393441994438506,-0.6547634635807147,0.001009976877382357,0.755774836109301,-0.9897264838218689,-0.0128760626539588,-0.1423931419849396,-27.67881774902344,-22.37068557739258,-25.88357543945312,-1,2,41822.365745125,2,0,1659876532.114862,0,0,0,0,0,0,0,0,0,41820.138542,0,-0.05285645,97.29809,1659876531.993468,3232235861,172480399,0,0,1,1659876531.970341,1,0.11,0
1659876532.241055,3,1659876531.645408,28.61998128265263,77.37100343686852,207.9473,-1,-1,-1,-1,16.86159324645996,35,-9999,1659876532.236064,-27.94848251342773,-22.31354141235352,-25.33110046386719,229.4152221679688,228.1763458251953,12.73225688934326,41822.643480125,-0.9886016845703125,-0.0104827880859375,-0.1805419921875,41822.619558125,-0.01649215817451477,-0.1047692894935608,0.004808071069419384,41822.634567125,-53.30654907226562,-43.48272705078125,-20.58860778808594,41822.586825125,0.01380602136704187,-1.433084726004078,0.01283058354214408,-0.001486784778535366,-0.02100519649684429,0.0007642928976565599,0.0003694295883178711,0.001950711943209171,-0.001955673098564148,2,0.009371140736911532,-0.6567187059386623,0.000991967706842567,0.7540767662461065,-0.9904512166976929,-0.0128302313387394,-0.1372654438018799,-27.87341690063477,-22.38544464111328,-25.4877815246582,-1,2,41822.365745125,2,0,1659876532.114862,0,0,0,0,0,0,0,0,0,41820.138542,0,-0.05285645,97.29809,1659876531.993468,3232235861,172480399,0,0,1,1659876531.970341,1,0.11,0
1659876532.34211,4,1659876531.645408,28.61998128265263,77.37100343686852,207.9473,-1,-1,-1,-1,16.86159324645996,35,-9999,1659876532.336871,-28.9860725402832,-22.30779266357422,-23.92944717407227,229.4668273925781,228.2279510498047,12.73228168487549,41822.742945125,-0.9943389892578125,-0.0123443603515625,-0.102569580078125,41822.71902212501,-0.01139699760824442,-0.5211132168769836,-0.001914280233904719,41822.73464512501,-54.33961486816406,-43.44065856933594,-19.08613586425781,41822.687547125,0.01363746195793956,-1.457438640680904,0.01273378299083384,0.005806227214634418,-0.5164726972579956,-0.01008128933608532,0.002977073192596436,0.007575960829854012,-0.04265574365854263,2,0.009290302437094139,-0.6658533954431106,0.0008471405637248963,0.7460242441072548,-0.9935013055801392,-0.01273343898355961,-0.1131058931350708,-28.31777572631836,-22.31327438354492,-24.89418411254883,-1,2,41822.687906125,1,2,1659876532.437023,0,0,0,0,0,0,0,0,0,41820.138542,0,-0.05285645,97.29809,1659876531.993468,3232235861,172480399,0,0,1,1659876531.970341,1,0.11,0
1659876532.441279,5,1659876531.645408,28.61998128265263,77.37100343686852,207.9473,-1,-1,-1,-1,16.86159324645996,35,-9999,1659876532.437559,-29.57823944091797,-22.17057037353516,-23.03375244140625,229.4837951660156,228.2449188232422,12.7324104309082,41822.84240925,-0.9970855712890625,-0.0103302001953125,-0.067596435546875,41822.81849025,-0.01489106472581625,0.03525971993803978,0.005093561951071024,41822.83472425,-54.900146484375,-43.31979370117188,-18.3443603515625,41822.78827012501,0.01369709760773727,-1.507100378182493,0.01301267112665698,-0.001973883248865604,-0.2188837826251984,0.001963421236723661,-0.001807212829589844,0.002621056511998177,0.07280278950929642,2,0.0094305549172638,-0.6841690707790621,0.0005425495045811857,0.7292622328601034,-0.9978875517845154,-0.01301230397075415,-0.06364749372005463,-29.794921875,-22.09212112426758,-23.06319808959961,-1,2,41822.687906125,1,2,1659876532.437023,0,0,0,0,0,0,0,0,0,41820.138542,0,-0.05285645,97.29809,1659876531.993468,3232235861,172480399,0,0,1,1659876531.970341,1,0.11,0
1659876532.538113,6,1659876531.645408,28.61998128265263,77.37100343686852,207.9473,-1,-1,-1,-1,16.86159324645996,35,-9999,1659876532.51833,-29.75651550292969,-22.23363876342773,-23.1384162902832,229.4795532226562,228.2406768798828,12.73250198364258,41822.94187325001,-0.999969482421875,-0.0106964111328125,-0.0581207275390625,41822.91795025,-0.01125079020857811,-0.1227205917239189,0.003091131104156375,41822.93479425,-55.38531494140625,-43.38616943359375,-17.95822143554688,41822.88899625,0.01352855583427551,-1.508276893698001,0.01289323141541858,0.00073216762393713,-0.08974979072809219,0.0003007282502949238,0.0009387731552124023,0.002165941521525383,-0.03907365351915359,2,0.009329655934669168,-0.6845992938288352,0.0005164690093121815,0.7288598279039206,-0.9979634881019592,-0.01289287395775318,-0.06247352808713913,-29.69237899780273,-22.15923690795898,-23.25809097290039,-1,2,41822.687906125,1,2,1659876532.437023,0,0,0,0,0,0,0,0,0,41820.138542,0,-0.05285645,97.29809,1659876531.993468,3232235861,172480399,0,0,1,1659876531.970341,1,0.11,0
1659876532.64054,7,1659876531.645408,28.61998128265263,77.37100343686852,207.9473,-1,-1,-1,-1,16.86159324645996,35,-9999,1659876532.639252,-29.82796478271484,-22.45504379272461,-22.84162902832031,229.4632263183594,228.2243499755859,12.73254299163818,41823.04133725,-0.998870849609375,-0.010101318359375,-0.0532073974609375,41823.01741425,-0.01051282789558172,0.1404423266649246,0.007740477565675974,41823.03487125001,-55.18827819824219,-43.62495422363281,-18.07328796386719,41822.98971825,0.01373469858161115,-1.516607995677582,0.01284987542937925,0.000338253565132618,0.02831368334591389,0.002164735458791256,-0.0004821419715881348,0.000642506405711174,0.008808247745037079,2,0.009386864178350135,-0.687628686460462,0.0005673393520212178,0.7260017388703807,-0.9984499216079712,-0.01284952182322741,-0.05415735393762589,-29.88037490844727,-22.33621978759766,-22.79961395263672,-1,2,41822.687906125,1,2,1659876532.437023,0,0,0,0,0,0,0,0,0,41820.138542,0,-0.05285645,97.29809,1659876531.993468,3232235861,172480399,0,0,1,1659876531.970341,1,0.11,0
1659876532.739805,8,1659876531.645408,28.61998128265263,77.37100343686852,207.9473,-1,-1,-1,-1,16.86159324645996,35,-9999,1659876532.719481,-29.57089233398438,-22.27152633666992,-23.60020065307617,229.4290161132812,228.1901397705078,12.73252773284912,41823.14080125,-0.9983978271484375,-0.0089111328125,-0.0503997802734375,41823.11687825,0.00857431348413229,0.1097715049982071,0.004881307948380709,41823.13495125,-54.87173461914062,-43.43765258789062,-18.57173156738281,41823.09044025,0.01380531059002493,-1.50187906390153,0.01270388987003392,0.004252132494002581,0.1561626642942429,-0.001854796311818063,-0.0001807808876037598,0.002770067192614079,-0.01738541573286057,2,0.009353163497685391,-0.6822638309356034,0.0007120673215305906,0.7310459034826666,-0.9975456595420837,-0.01270354818552732,-0.06885716319084167,-29.59823989868164,-22.45301818847656,-23.3610725402832,-1,2,41822.687906125,1,2,1659876532.437023,0,0,0,0,0,0,0,0,0,41820.138542,0,-0.05285645,97.29809,1659876531.993468,3232235861,172480399,0,0,1,1659876531.970341,1,0.11,0
1659876532.83679,9,1659876531.645408,28.61998128265263,77.37100343686852,207.9473,-1,-1,-1,-1,16.86159324645996,35,-9999,1659876532.82023,-29.02999877929688,-22.44949340820312,-24.13730239868164,229.3947296142578,228.1558532714844,12.73253059387207,41823.24026125,-0.9936981201171875,-0.0113525390625,-0.127349853515625,41823.21634325,-0.01212404109537601,0.2341461926698685,0.001672997837886214,41823.23502825,-53.98483276367188,-43.70974731445312,-19.36463928222656,41823.19116225,0.01519142561822912,-1.483589883927161,0.0133081024538991,0.01068584620952606,0.3096460402011871,-0.01038593146950006,-0.0009281039237976074,0.002260357141494751,0.02481716871261597,2,0.01003716258186216,-0.6755406236033243,0.001104419081263575,0.7372536522746765,-0.9961117506027222,-0.01330770924687386,-0.08708824217319489,-29.13849258422852,-22.38482284545898,-23.62179183959961,-1,2,41822.687906125,1,2,1659876532.437023,0,0,0,0,0,0,0,0,0,41820.138542,0,-0.05285645,97.29809,1659876531.993468,3232235861,172480399,0,0,1,1659876531.970341,1,0.11,0
1659876532.936291,10,1659876531.645408,28.61998128265263,77.37100343686852,207.9473,-1,-1,-1,-1,16.86159324645996,35,-9999,1659876532.920998,-28.88601684570312,-22.37163925170898,-24.084716796875,229.4078979492188,228.1690216064453,12.73261260986328,41823.33972525,-0.9967803955078125,-0.0107574462890625,-0.0916748046875,41823.31580325,-0.01704955659806728,-0.1425587385892868,0.01160925161093473,41823.33510825,-54.25325012207031,-43.42015075683594,-18.86354064941406,41823.29188425,0.01467250412220637,-1.473166147061013,0.01333730456571089,-0.004201816394925117,-0.1127854138612747,0.009529504925012589,0.0004137158393859863,0.002136946655809879,-0.03331654518842697,2,0.009867808223658958,-0.6716914341570819,0.0009547081854383854,0.7407646887533533,-0.9951494336128235,-0.01333690900355577,-0.09746648371219635,-28.83639907836914,-22.43535614013672,-24.17520523071289,-1,2,41822.687906125,1,2,1659876532.437023,0,0,0,0,0,0,0,0,0,41820.68783,0,-0.07662964,97.29839,1659876531.993468,3232235861,172480399,0,0,1,1659876531.970341,1,0.11,0
